Primary Variant,Secondary Variants,Importance,Typical Uses Min,Typical Uses Max,Uses,Semantic Group
dictation,dictate;dictations;dictates,10,14,40,0,""
apple,apples,8,2,4,0,""
macos,mac os,8,2,4,0,""
transcribe,transcribes;transcribing;transcriber,7,2,4,0,""
speech-to-text,speech to text,6,2,4,0,""
dictation software,dictating software,6,4,10,0,""
functionality,function;functions,6,1,2,0,""
speech recognition,speech-recognition,5,2,4,0,""
dictation app,dictation apps;dictate app,5,1,3,0,""
iphone,iphones,5,1,3,0,""
ios,io,5,2,6,0,""
formatting,format;formats,5,1,3,0,""
dictation tool,dictation tools;dictate tool;dictate tools,5,1,3,0,""
workflow,workflows,4,1,3,0,""
best dictation software,,4,1,3,0,""
punctuation,,4,1,3,0,""
google docs,google doc,4,2,4,0,""
dictation feature,dictation features;dictate feature,4,1,3,0,""
mac dictation,,4,1,2,0,""
ai-powered,ai powered,4,1,3,0,""
voice dictation,,4,2,4,0,""
real time,real-time;realtime,3,1,3,0,""
dragon dictate,dragon dictation;dragon's dictation,3,2,6,0,""
chatgpt,,3,2,4,0,""
macwhisper,mac whisper;mac-whisper,3,3,7,0,""
siri,,3,1,2,0,""
voice-to-text,voice to text,3,1,2,0,""
use cases,use case,3,1,2,0,""
macbook,,3,1,3,0,""
voice control,,3,1,2,0,""
voice recognition,,3,1,3,0,""
audio files,audio file,3,1,3,0,""
voice typing,,3,3,7,0,""
openai,,3,2,4,0,""
one-time purchase,one time purchase,3,1,3,0,""
mac app,mac apps;macapps,3,1,3,0,""
keyboard shortcut,keyboard shortcuts,3,1,2,0,""
automation,automations;automate,3,2,4,0,""
spanish,,2,1,2,0,""
built-in dictation,,2,3,9,0,""
cloud-based,cloud based,2,1,2,0,""
ipad,ipads,2,1,3,0,""
android,,2,1,3,0,""
voice commands,voice command,2,1,2,0,""
french,,2,1,2,0,""
custom vocabulary,,2,1,2,0,""
memos,memo,2,1,2,0,""
mac users,mac user,2,1,3,0,""
apple dictation,apple's dictation;apple's dictation;apple dictate,2,1,2,0,""
api,apis,2,2,6,0,""
