Primary Variant,Secondary Variants,Importance,Typical Uses Min,Typical Uses Max,Uses,Semantic Group
transcribe,transcribing;transcribes;transcribers,9,4,12,0,""
audio file,audio files;audio file(s,6,1,3,0,""
workflow,workflows;work flow;work-flow,6,1,3,0,""
transcribe audio,transcribing audio;transcribes audio,6,1,3,0,""
video files,video file,6,1,3,0,""
macos,mac os,6,2,4,0,""
playback,,5,2,4,0,""
formats,format;formatting,5,2,6,0,""
transcription software,,5,3,7,0,""
summaries,summary,5,4,10,0,""
zoom,,5,1,3,0,""
iphone,iphones,5,1,2,0,""
ai-powered,,4,1,2,0,""
subtitles,subtitle;subtitling,4,2,4,0,""
apple,,4,1,3,0,""
dictation,dictate;dictations;dictating,4,2,4,0,""
windows,window,4,2,4,0,""
speech to text,speech-to-text,4,1,2,0,""
ai transcription,ai transcriptions;ai transcripts;ai transcript,4,2,4,0,""
transcription services,transcription service,4,1,3,0,""
audio transcription,audio_transcription;audio transcripts;audio transcript,4,1,2,0,""
french,,4,1,2,0,""
podcasts,podcast;podcasters,3,1,3,0,""
high-quality,high quality;high_quality,3,1,2,0,""
wav,,3,1,2,0,""
accurate transcription,accurate transcripts;accurate transcriptions,3,1,3,0,""
openai,,3,1,2,0,""
audio recordings,audio recorder;audio recording,3,1,2,0,""
microsoft,,3,1,3,0,""
srt,,3,1,2,0,""
pricing,price;prices,3,2,6,0,""
human transcription,,3,1,2,0,""
shortcuts,shortcut,3,1,3,0,""
notetaker,note taker;note-taker,3,1,2,0,""
voice recorder,voice recorders;voice recording,3,1,2,0,""
automated transcription,,3,1,2,0,""
russian,,3,1,2,0,""
function,functionality;functions;functionalities,3,1,2,0,""
meeting assistant,meeting assistants,3,1,3,0,""
otter.ai,otter ai,3,2,4,0,""
ipad,ipads,3,1,2,0,""
transcription app,transcription apps,3,1,3,0,""
real time,real-time;realtime,2,2,4,0,""
different languages,,2,1,2,0,""
api,,2,1,2,0,""
zapier,,2,1,2,0,""
transcription tools,transcription tool,2,2,6,0,""
speech recognition,,2,1,2,0,""
portuguese,,2,1,2,0,""
live transcription,live transcriptions;live transcripts,2,1,3,0,""
italian,,2,1,2,0,""
best transcription software,,2,2,6,0,""
phone calls,phone call,2,1,2,0,""
action items,action-items;action item,2,1,3,0,""
ai summaries,ai summary,2,1,3,0,""
note-taking,note taking,2,1,2,0,""
google meet,,2,1,3,0,""
automate,automation,2,1,2,0,""
ai tools,ai tool,2,1,2,0,""
audio playback,,2,1,2,0,""
